n(SMILES),PCE_max(%),PCE_ave(%),Jsc(mA/cm2),FF,Voc(V),Eg_n(eV),M (g/mol),HOMO_n(eV),'-LUMO_n(eV)
CCCCCCC(C=C1)=CC=C1C2(CCCCCCCC)C3=CC4=C(C(C5=C4SC(/C=C6C(C(C=CC(C)=C7)=C7C\6=C(C#N)\C#N)=O)=C5)(CCCCCCCC)C8=CC=C(CCCCCC)C=C8)C=C3C9=C2C=C(/C=C%10C(C(C=CC(C)=C%11)=C%11C\%10=C(C#N)/C#N)=O)S9,10.12,9.91,15.91,0.7,0.88,1.9,1247.76,5.77,3.87
CCCCCCC(C=C1)=CC=C1C2(CCCCCCCC)C3=CC4=C(C(C5=C4SC6=C5SC(/C=C7C(C(C=CC(C)=C8)=C8C\7=C(C#N)\C#N)=O)=C6)(CCCCCCCC)C9=CC=C(CCCCCC)C=C9)C=C3C%10=C2C(SC(/C=C%11C(C(C=CC(C)=C%12)=C%12C\%11=C(C#N)/C#N)=O)=C%13)=C%13S%10,11.19,11.01,16.41,0.74,0.91,1.71,1359.92,5.59,3.88
CCCCCCC(C=C1F)=CC=C1C2(C3=C(F)C=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=C(F)C=C(CCCCCC)C=C%10)C%11=C(F)C=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,11.11,10.89,18.07,0.67,0.918,1.72,1499.92,5.66,3.91
CCCCCCC1(CCCCCC)C2=C(C3=CC(C4(CCCCCC)CCCCCC)=C(C5=C4C=C(/C=C6C(C7=CSC=C7C\6=C(C#N)/C#N)=O)S5)C=C31)SC(/C=C8C(C9=CSC=C9C\8=C(C#N)/C#N)=O)=C2,12.2,11.9,17.5,0.746,0.93,1.86,1023.44,5.84,3.98
CCCCCCC1(CCCCCC)C2=C(SC(/C=C3C(C(C=C(Cl)C(Cl)=C4)=C4C\3=C(C#N)\C#N)=O)=C2)C5=C1C=C(C(S6)=CC7=C6C(SC(/C=C8C(C(C=C(Cl)C(Cl)=C9)=C9C\8=C(C#N)/C#N)=O)=C%10)=C%10C7(CCCCCC)CCCCCC)S5,9.28,9.13,21.3,0.668,0.65,1.36,1237.71,5.29,3.93
CCCCCCC1(CCCCCC)C2=C(SC(/C=C3C(C(C=C(F)C(F)=C4)=C4C\3=C(C#N)\C#N)=O)=C2)C5=C1C=C(C(S6)=CC7=C6C(SC(/C=C8C(C(C=C(F)C(F)=C9)=C9C\8=C(C#N)/C#N)=O)=C%10)=C%10C7(CCCCCC)CCCCCC)S5,9.47,9.29,20.1,0.696,0.68,1.39,1171.5,5.26,3.87
CCCCCCC1=C(C#CC2=CC=C(C(N3C4=CC=C(C(C=CC=C5)=C5C6(CCCC)CCCC)C6=C4)=O)C7=C2C=CC=C7C3=O)SC(C8=CC9=C(C=C(C%10=CC(CCCCCC)=C(C#CC%11=CC=C(C(N%12C%13=CC=C(C(C=CC=C%14)=C%14C%15(CCCC)CCCC)C%15=C%13)=O)C%16=C%11C=CC=C%16C%12=O)S%10)C%17=NSN=C9%17)C%18=NSN=C8%18)=C1,2.48,2.45,5.31,0.52,0.9,2.41,1568.1,6.01,3.6
CCCCCCC1=C(C#CC2=CC=C(C(N3C4=CC=C(C(C=CC=C5)=C5C6(CCCC)CCCC)C6=C4)=O)C7=C2C=CC=C7C3=O)SC(C8=CC=C(C9=CC(CCCCCC)=C(C#CC%10=CC=C(C(N%11C%12=CC=C(C(C=CC=C%13)=C%13C%14(CCCC)CCCC)C%14=C%12)=O)C%15=C%10C=CC=C%15C%11=O)S9)C%16=NSN=C8%16)=C1,2.81,2.71,5.18,0.6,0.9,2.51,1459.98,5.95,3.44
CCCCCCC1=CC(C2(C3=CC(CCCCCC)=CC=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=CC(CCCCCC)=C%10)C%11=CC(CCCCCC)=CC=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12)=CC=C1,8.54,8.54,15.09,0.67,0.85,1.61,1427.92,5.21,3.6
CCCCCCC1=CC=C(C(C2=CC=C(CCCCCC)C=C2)(C3=C4SC5=C(OCC(CC)CCCC)C6=C(C(OCC(CC)CCCC)=C35)SC(C7=C8C=C(/C=C9C%10=C(C=CC=C%10)C%11=C/9N=C(C#N)C(C#N)=N%11)S7)=C6C8(C%12=CC=C(CCCCCC)C=C%12)C%13=CC=C(CCCCCC)C=C%13)C%14=C4SC(/C=C%15C%16=C(C=CC=C%16)C%17=C/%15N=C(C#N)C(C#N)=N%17)=C%14)C=C1,9.31,9.0,14.83,0.695,0.88,1.45,1732.44,5.47,4.02
CCCCCCC1=CC=C(C(C2=CC=C(CCCCCC)C=C2)(O3)C4=C(SC(/C=C5C(C(C=C(Cl)C=C6)=C6C\5=C(C#N)\C#N)=O)=C4)C7=C3C8=C(S7)C9=C(C(SC(/C=C%10C(C(C=C(Cl)C=C%11)=C%11C\%10=C(C#N)/C#N)=O)=C%12)=C%12C(C%13=CC=C(CCCCCC)C=C%13)(C%14=CC=C(CCCCCC)C=C%14)O9)S8)C=C1,8.82,8.64,20.03,0.613,0.69,1.41,1478.78,5.46,4.05
CCCCCCC1=CC=C(C(C2=CC=C(CCCCCC)C=C2)(O3)C4=C(SC(/C=C5C(C(C=CC(Cl)=C6)=C6C\5=C(C#N)\C#N)=O)=C4)C7=C3C8=C(S7)C9=C(C(SC(/C=C%10C(C(C=C(Cl)C=C%11)=C%11C\%10=C(C#N)/C#N)=O)=C%12)=C%12C(C%13=CC=C(CCCCCC)C=C%13)(C%14=CC=C(CCCCCC)C=C%14)O9)S8)C=C1,9.22,8.92,20.44,0.631,0.69,1.45,1478.78,5.47,4.02
CCCCCCC1=CC=C(C(C2=CC=C(CCCCCC)C=C2)(O3)C4=C(SC(/C=C5C(C(C=CC(Cl)=C6)=C6C\5=C(C#N)\C#N)=O)=C4)C7=C3C8=C(S7)C9=C(C(SC(/C=C%10C(C(C=CC(Cl)=C%11)=C%11C\%10=C(C#N)/C#N)=O)=C%12)=C%12C(C%13=CC=C(CCCCCC)C=C%13)(C%14=CC=C(CCCCCC)C=C%14)O9)S8)C=C1,8.41,8.21,20.29,0.599,0.67,1.44,1478.78,5.46,4.02
CCCCCCC1=CC=C(C2(C(C=C3)=CC=C3CCCCCC)C4=C(C5=C2C=C6C(SC7=C8SC(/C=C9/C(C(C(C=CC=C%10)=C%10S%11)=C%11C9=O)=C(C#N)/C#N)=C7)=C8C(C(C=C%12)=CC=C%12CCCCCC)(C6=C5)C(C=C%13)=CC=C%13CCCCCC)SC%14=C4SC(/C=C%15/C(C(C(C=CC=C%16)=C%16S%17)=C%17C%15=O)=C(C#N)/C#N)=C%14)C=C1,10.99,10.77,16.37,0.713,0.941,1.6,1540.12,5.38,3.78
CCCCCCC1=CC=C(C2(C3=C(SC(C4=C(SCC(CCCC)CC)C=C(/C=C5/C(C6=C(C5=O)C=C(F)C(F)=C6)=C(C#N)/C#N)S4)=C3)C7=C2C=C8C(SC(C9=C(SCC(CC)CCCC)C=C(/C=C%10/C(C%11=C(C%10=O)C=C(F)C(F)=C%11)=C(C#N)/C#N)S9)=C%12)=C%12C(C(C=C%13)=CC=C%13CCCCCC)(C8=C7)C(C=C%14)=CC=C%14CCCCCC)C(C=C%15)=CC=C%15CCCCCC)C=C1,7.5,7.2,16.97,0.58,0.72,1.35,1840.55,5.43,4.08
CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C4=C(SC(/C=C5C(C(C(C=CC=C6)=C6S7)=C7C\5=C(C#N)\C#N)=O)=C4)C8=C2C9=C(S8)C=C%10C(SC%11=C%10C(C%12=CC=C(CCCCCC)C=C%12)(C%13=CC=C(CCCCCC)C=C%13)C%14=C%11SC(/C=C%15C(C(C(C=CC=C%16)=C%16S%17)=C%17C\%15=C(C#N)/C#N)=O)=C%14)=C9)C=C1,10.82,10.52,18.31,0.625,0.92,1.55,1540.12,5.4,3.85
CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C4=C(SC(/C=C5C(C(C=CC=C6)=C6C\5=C(C#N)\C#N)=O)=C4)C7=C2C8=C(C9=C(S8)C(C=C%10)=C(S9)C%11=C%10C(SC(/C=C%12C(C(C=CC=C%13)=C%13C\%12=C(C#N)/C#N)=O)=C%14)=C%14C%11(C%15=CC=C(CCCCCC)C=C%15)C%16=CC=C(CCCCCC)C=C%16)C=C7)C=C1,8.64,8.33,13.55,0.661,0.93,1.72,1478.02,5.45,3.73
CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C4=C(SC(/C=C5C(C(C=CC=C6)=C6C\5=C(C#N)\C#N)=O)=C4)C7=C2C8=C(S7)C=C9C(SC%10=C9C(C%11=CC=C(CCCCCC)C=C%11)(C%12=CC=C(CCCCCC)C=C%12)C%13=C%10SC(/C=C%14C(C(C=CC=C%15)=C%15C\%14=C(C#N)/C#N)=O)=C%13)=C8)C=C1,9.33,9.14,15.83,0.638,0.85,1.54,1427.96,5.41,3.87
CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=CC=C(CCCCCC)C=C6)(C7=CC=C(CCCCCC)C=C7)C8=C5SC(C9=C(C=C(C(OCCCCCCCC)=O)S%10)C%10=C(/C=C(S/%11)/C(N(CC)C%11=C(C#N)/C#N)=O)S9)=C8)C=C4C%12=C2C=C(C%13=C(C=C(C(OCCCCCCCC)=O)S%14)C%14=C(/C=C(S/%15)/C(N(CC)C%15=C(C#N)\C#N)=O)S%13)S%12)C=C1,9.0,8.8,16.01,0.6,0.92,1.83,1902.71,5.51,3.68
CCCCCCCCC(C1=C2SC3=C1SC(/C=C4C(C(C=CC=C5)=C5C\4=C(C#N)\C#N)=O)=C3)(CCCCCCCC)C6=C2SC7=C6SC(/C=C8/C(C9=C(C8=O)C=CC=C9)=C(C#N)/C#N)=C7,11.5,11.0,24.9,0.56,0.78,1.64,923.24,5.62,3.98
CCCCCCCCC(CCCCCCCC)N1C2=C(C=CC(C3=CC=C(/C=C(C#N)\C#N)C4=NSN=C34)=C2)C5=C1C=C(C6=CC=C(/C=C(C#N)\C#N)C7=NSN=C67)C=C5,5.3,5.0,10.6,0.53,0.88,1.92,826.1,6.05,4.13
CCCCCCCCC(CCCCCCCC)N1C2=C(C=CC(C3=CC=C(/C=C(C(OCC)=O)\C#N)S3)=C2)C(C1=C4)=CC=C4C5=CC=C(/C=C(C(OCC)=O)\C#N)S5,1.03,0.98,2.34,0.44,1.0,2.26,816.13,5.63,3.37
CCCCCCCCC(CCCCCCCC)N1C2=C(SC(C(S3)=C(CCCCC)C=C3C(SC(/C=C4/C(C(C=CC=C5)=C5C4=O)=C(C#N)\C#N)=C6)=C6CCCCCC)=C2)C7=C1C=C(C8=C(CCCCCC)C=C(C9=C(CCCCCC)C=C(/C=C%10/C(C(C=CC=C%11)=C%11C%10=O)=C(C#N)\C#N)S9)S8)S7,6.94,6.87,13.77,0.63,0.8,1.23,1477.19,5.24,4.01
CCCCCCCCC(CCCCCCCC)N1C2=C(SC(C(S3)=C(CCCCC)C=C3C(SC(/C=C4C(N(C(C([N+]#[C-])=C\4C)=O)CCCC)=O)=C5)=C5CCCCCC)=C2)C6=C1C=C(C7=C(CCCCCC)C=C(C8=C(CCCCCC)C=C(/C=C9C(C)=C([N+]#[C-])C(N(CCCC)C/9=O)=O)S8)S7)S6,4.89,4.81,10.53,0.56,0.83,1.4,1501.3,5.27,3.87
CCCCCCCCC1(CCCCCCCC)C(C=C(/C=C2C(C(C=CC=C3)=C3C\2=C(C#N)\C#N)=O)S4)=C4C5=C(O1)C=C6C(OC(CCCCCCCC)(CCCCCCCC)C7=C6SC(/C=C8/C(C9=C(C8=O)C=CC=C9)=C(C#N)/C#N)=C7)=C5,1.97,1.97,4.87,0.426,0.95,2.02,1156.61,5.85,3.83
CCCCCCCCC1(CCCCCCCC)C2=C(C3=C(O1)C=C(/C=C4C(C(C=CC=C5)=C5C\4=C(C#N)\C#N)=O)S3)C=C(C(CCCCCCCC)(CCCCCCCC)OC6=C7SC(/C=C8/C(C9=C(C8=O)C=CC=C9)=C(C#N)/C#N)=C6)C7=C2,10.42,10.42,17.17,0.675,0.9,1.78,1158.61,5.67,3.89
CCCCCCCCC1(CCCCCCCC)C2=C(C=CC(C3=CC=C(/C=C(C#N)\C#N)C4=NSN=C34)=C2)C5=C1C=C(C6=CC=C(/C=C(C#N)\C#N)C7=NSN=C67)C=C5,5.1,5.0,11.2,0.51,0.88,2.11,811.08,6.25,4.14
CCCCCCCCC1(CCCCCCCC)C2=C(C=CC(C3=CC=C(/C=C4C(N(C)C(N(C)C\4=O)=O)=O)S3)=C2)C5=CC=C(C6=CC=C(/C=C7C(N(C)C(N(C)C\7=O)=O)=O)S6)C=C51,5.42,4.84,8.17,0.52,1.15,2.25,887.17,5.75,3.5
CCCCCCCCC1(CCCCCCCC)C2=C(C=CC(C3=CC=C(/C=C4C(N(CC)C(N(CC)C\4=O)=S)=O)S3)=C2)C5=CC=C(C6=CC=C(/C=C7C(N(CC)C(N(CC)C\7=O)=S)=O)S6)C=C51,7.17,6.38,12.47,0.51,1.0,1.94,975.4,5.66,3.72
CCCCCCCCC1(CCCCCCCC)C2=C(SC(C3=CC=C(/C=C(C#N)/C#N)C4=NSN=C34)=C2)C5=C1C=C(C6=CC=C(/C=C(C#N)\C#N)C7=NSN=C67)S5,5.0,4.8,11.9,0.6,0.66,1.41,823.13,5.69,4.28
CCCCCCCCC1(CCCCCCCC)C2=CC3=C(C(C4=C3SC5=C4SC(/C=C6C(C(SC(Cl)=C7)=C7C\6=C(C#N)\C#N)=O)=C5)(CCCCCCCC)CCCCCCCC)C=C2C8=C1C(SC(/C=C9C(C%10=C(SC(Cl)=C%10)C\9=C(C#N)/C#N)=O)=C%11)=C%11S8,12.7,12.4,17.9,0.73,0.95,1.57,1316.71,5.5,3.93
CCCCCCCCC1(CCCCCCCC)C2=CC3=C(C(C4=C3SC5=C4SC(/C=C6C(C(SC(Cl)=C7)=C7C\6=C(C#N)\C#N)=O)=C5)(CCCCCCCC)CCCCCCCC)C=C2C8=C1C(SC(/C=C9C(C(SC(Cl)=C%10)=C%10C\9=C(C#N)/C#N)=O)=C%11)=C%11S8,12.7,12.4,17.9,0.73,0.95,1.57,1316.71,5.5,3.93
CCCCCCCCC1(CCCCCCCC)C2=CC3=C(C(C4=C3SC5=C4SC(/C=C6C(C(SC=C7)=C7C\6=C(C#N)\C#N)=O)=C5)(CCCCCCCC)CCCCCCCC)C=C2C8=C1C(SC(/C=C9C(C%10=C(SC=C%10)C\9=C(C#N)/C#N)=O)=C%11)=C%11S8,10.8,10.5,16.1,0.63,1.04,1.6,1247.82,5.45,3.85
CCCCCCCCC1(CCCCCCCC)C2=CC3=C(C(C4=C3SC5=C4SC(/C=C6C(C(SC=C7)=C7C\6=C(C#N)\C#N)=O)=C5)(CCCCCCCC)CCCCCCCC)C=C2C8=C1C(SC(/C=C9C(C(SC=C%10)=C%10C\9=C(C#N)/C#N)=O)=C%11)=C%11S8,10.8,10.5,16.1,0.63,1.04,1.6,1247.82,5.45,3.85
CCCCCCCCC1(CCCCCCCC)C2=CC3=C(C(CCCCCCCC)(CCCCCCCC)C4=C3SC(C5=CC=C(/C=C(C#N)\C#N)C6=NSN=C56)=C4)C=C2C7=C1C=C(C8=CC=C(/C=C(C#N)\C#N)C9=NSN=C89)S7,11.1,10.5,19.8,0.73,0.72,1.52,1135.67,5.7,4.18
CCCCCCCCCCC(CN(C1=O)C(C2=CC=C3C4=C(C5=C3C2=C1C=C5)N=C6C(C7=CC=CC=C7)=C8N=C(C9=C%10C%11=C%12C=C9)C(C%10=CC=C%11C(N(C%12=O)CC(CCCCCCCCCCCC)CCCCCCCCCC)=O)=NC8=C(C%13=CC=CC=C%13)C6=N4)=O)CCCCCCCCCCCC,1.44,1.39,3.16,0.49,0.94,2.2,1394.0,5.8,3.6
CCCCCCCCCCC1(CCCCCCCCCC)C2=CC(C3=CC=C(/C=C4SC(SCCCCCC)=C(SCCCCCC)S\4)C5=NSN=C35)=CC=C2C6=C1C=C(C7=CC=C(/C=C8SC(SCCCCCC)=C(SCCCCCC)S\8)C9=NSN=C79)C=C6,7.13,7.13,14.64,0.64,0.77,2.1,1408.32,5.7,3.6
CCCCCCCCN(C1=O)C(C2=CC=C(C(C=C3C(N(C(CC)CC)C4=O)=O)=C5C6=C3C4=CC=C6C(C=CC=C7)=C7S5)S2)=C8C1=C(C9=CC=C(C(C=C%10C(N(C(CC)CC)C%11=O)=O)=C%12C%13=C%10C%11=CC=C%13C(C=CC=C%14)=C%14S%12)S9)N(CCCCCCCC)C8=O,0.2,0.2,0.7,0.239,1.08,1.9,1267.69,5.2,3.3
CCCCCCCCN(C1=O)C(C2=CC=C(C3=C(C4=CC=C(C5=O)C6C4=C7C8=CC6C(N5C(CC)CC)=O)C(C7=C(N8CCCCCC)C=C9C(N(C(CC)CC)C%10=O)=O)=C9C%10=C3)S2)=C%11C1=C(C%12=CC=C(C%13=C(C%14=C%15C%16=CC%17C%14C(C(N(C(CC)CC)C%17=O)=O)=C%13)C%18=CC=C%19C%20=C%18C%15=C(N%16CCCCCC)C=C%20C(N(C(CC)CC)C%19=O)=O)S%12)N(CCCCCCCC)C%11=O,5.3,5.3,12.48,0.431,0.98,1.6,1780.35,5.3,3.7
CCCCCCCCN(C1=O)C(C2=CC=C(C3=C(C4=CC=C(C5=O)C6C4=C7C8=CC6C(N5C(CC)CC)=O)C(C7=C(N8CCCCCC)C=C9C(N(C(CC)CC)C%10=O)=O)=C9C%10=C3)S2)=C%11C1=C(C%12=CC=C(C(C=C%13C(N(C(CC)CC)C%14=O)=O)=C%15C%16=C%13C%14=CC=C%16C(C=CC=C%17)=C%17S%15)S%12)N(CCCCCCCC)C%11=O,1.1,1.1,3.78,0.313,0.95,1.6,1524.02,5.3,3.7
CCCCCCCCN1N=C2C(/C=C(C#N)/C#N)=CC=C(C3=CC(C4(C(C=CC=C5)=C5C6=C4C=CC=C6)C7C8C=CC(C(C9=NN(CCCCCCCC)N=C%109)=CC=C%10/C=C(C#N)\C#N)=C7)=C8C=C3)C2=N1,0.2,0.17,1.07,0.4,0.47,2.27,929.19,6.08,3.81
CCCCCCN1C2=C(SC=C2)C3=C1C=C(C4=CC=C(/C=C(C#N)/C#N)C5=NSN=C45)S3,0.3,0.3,1.4,0.4,0.58,2.1,473.63,5.7,3.6
CCCCCC[Si]1(CCCCCC)C2=C(SC(/C=C3C(C(C=CC(F)=C4)=C4C\3=C(C#N)\C#N)=O)=C2)C(S5)=C1C(S6)=C5C7=C6C(SC(/C=C8C(C(C=CC(F)=C9)=C9C\8=C(C#N)/C#N)=O)=C%10)=C%10[Si]7(CCCCCC)CCCCCC,10.2,9.86,18.84,0.694,0.78,1.37,1141.63,5.58,4.21
CCCCCC[Si]1(CCCCCC)C2=C(SC(C3=CC([Si]4(CCCCCC)CCCCCC)=C(S3)C5=C4C=C(C(C6=NSN=C67)=CC=C7/C=C(C#N)/C#N)S5)=C2)C8=C1C=C(C(C9=NSN=C9%10)=CC=C%10/C=C(C#N)/C#N)S8,0.17,0.14,0.74,0.46,0.41,1.6,1143.74,5.5,3.9
CCCCCC[Si]1(CCCCCC)C2=C(SC=C2)C3=C1C=C(C(C4=NSN=C45)=CC=C5/C=C(C#N)/C#N)S3,0.05,0.05,0.34,0.35,0.41,1.8,572.88,5.6,3.8
CCC[Si]1(CCC)C2=C(SC(C3=CC=C(F)C=C3)=C2)C4=C1C=C(C5=CC=C(/C=C(C#N)/C#N)C6=NSN=C56)S4,1.5,1.5,5.88,0.46,0.54,2.0,582.81,5.7,3.7
CCN(C/1=O)/C(SC1=C\C2=CC=C(C3=CC(C4(C(C=CC=C5)=C5C6=C4C=CC=C6)C7C8C=CC(C(C9=NN(CCCCCCCC)N=C%109)=CC=C%10/C=C%11S/C(N(C/%11=O)CC)=C(C#N)\C#N)=C7)=C8C=C3)C%12=NN(CCCCCCCC)N=C2%12)=C(C#N)/C#N,0.57,0.54,2.09,0.3,0.91,2.13,1183.51,5.7,3.57
CCN(C/1=O)C(SC1=C\C2=CC=C(C3=CC(C4(C(C=CC=C5)=C5C6=C4C=CC=C6)C7C8C=CC(C(C9=NN(CCCCCCCC)N=C%109)=CC=C%10/C=C%11SC(N(C/%11=O)CC)=S)=C7)=C8C=C3)C%12=NN(CCCCCCCC)N=C2%12)=S,3.28,3.08,5.45,0.59,1.02,2.2,1119.54,5.76,3.56
CCOCCOCCOC(C=C1)=CC=C1C2=NC3=C(C4=C(F)C(F)=NC=C4)C5=NSN=C5C(C6=CC=NC(F)=C6F)=C3N=C2C7=CC=C(OCCOCCOCC)C=C7,0.11,0.1,0.65,0.26,0.66,1.96,830.86,5.85,3.89
CCOCCOCCOC(C=C1)=CC=C1C2=NC3=C(C4=CC5=NSN=C5C=C4)C6=NSN=C6C(C7=CC8=NSN=C8C=C7)=C3N=C2C9=CC=C(OCCOCCOCC)C=C9,0.18,0.16,0.56,0.34,0.92,1.91,873.03,5.68,3.77
CCOCCOCCOC(C=C1)=CC=C1C2=NC3=C(C4=CC=C(C5=CC=CS5)S4)C6=NSN=C6C(C7=CC=C(C8=CC=CS8)S7)=C3N=C2C9=CC=C(OCCOCCOCC)C=C9,0.04,0.04,0.21,0.28,0.72,1.0,933.2,4.91,3.91
CCOCCOCCOC(C=C1)=CC=C1C2=NC3=C(C4=CC=CS4)C5=NSN=C5C(C6=CC=CS6)=C3N=C2C7=CC=C(OCCOCCOCC)C=C7,0.22,0.16,0.92,0.3,0.78,1.23,768.96,5.18,3.95
COC1=C(SC(/C=C2/C(C(C=C3F)=C(C2=O)C=C3F)=C(C#N)/C#N)=C1OC)C(S4)=CC5=C4C6=C(C(C7=CC=C(CCCCCC)C=C7)5C8=CC=C(CCCCCC)C=C8)C=C9C(C(C%10=C9SC(C%11=C(C(OC)=C(/C=C%12C(C(C=C(C(F)=C%13)F)=C%13C\%12=C(C#N)\C#N)=O)S%11)OC)=C%10)(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)=C6,13.01,12.79,21.98,0.662,0.87,1.64,1672.1,5.49,3.85
COC1=CC(C2C3C=CC(OC)=C2)=C(/C3=C4C(C=C(C=CC=C5)C5=C6)=C6C7=C/4C=C8C(C=CC=C8)=C7)C=C1,1.7,1.7,3.9,0.4,1.1,2.18,490.6,5.3,3.12
COCCOCC(C=C1)=CC=C1C2(C3=CC=C(COCCOC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(COCCOC)C=C%10)C%11=CC=C(COCCOC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,8.5,8.4,14.8,0.67,0.85,1.65,1443.73,5.68,4.03
ClB1N2/C3=N\C(C4=C/5C=C(C=C(C(N(C(CCCCC)CCCCC)C6=O)=O)C6=C7)C7=C4)=NC5=N/C(N81)=C9C(C=C(C=C(C(N(C(CCCCC)CCCCC)C%10=O)=O)C%10=C%11)C%11=C9)=C8N=C2C%12=C3C=C(C=C(C(N(C(CCCCC)CCCCC)C%13=O)=O)C%13=C%14)C%14=C%12,6.25,6.08,13.98,0.413,1.08,1.73,1250.79,5.59,3.86
ClB1N2/C3=N\C(C4=C/5C=C(C=C(C(N(C6=C(C(C)C)C=CC=C6C(C)C)C7=O)=O)C7=C8)C8=C4)=NC5=N/C(N91)=C%10C(C=C(C=C(C(N(C%11=C(C(C)C)C=CC=C%11C(C)C)C%12=O)=O)C%12=C%13)C%13=C%10)=C9N=C2C%14=C3C=C(C=C(C(N(C%15=C(C(C)C)C=CC=C%15C(C)C)C%16=O)=O)C%16=C%17)C%17=C%14,3.88,3.82,9.52,0.398,1.02,1.72,1268.68,5.62,3.9
FB1N2/C3=N\C(C4=C/5C=C(C=C(C(N(C(CCCCC)CCCCC)C6=O)=O)C6=C7)C7=C4)=NC5=N/C(N81)=C9C(C=C(C=C(C(N(C(CCCCC)CCCCC)C%10=O)=O)C%10=C%11)C%11=C9)=C8N=C2C%12=C3C=C(C=C(C(N(C(CCCCC)CCCCC)C%13=O)=O)C%13=C%14)C%14=C%12,3.28,3.2,8.1,0.398,1.02,1.73,1234.34,5.56,3.83
FC(C(F)=C1)=CC2=C1C(/C(C2=O)=C/C3=CC4=C(C5=CC6=C(C7=C8C(C9(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)=C(C=C7C=C6)C%12=C9C=C(/C=C%13/C(C%14=C(C%13=O)C=C(F)C(F)=C%14)=C(C#N)/C#N)S%12)C(C=C8)=C5C(C(C=C%15)=CC=C%15CCCCCC)4C(C=C%16)=CC=C%16CCCCCC)S3)=C(C#N)/C#N,3.72,3.47,9.67,0.47,0.75,2.05,1511.9,5.83,3.78
FC1=C(/C=C(C#N)/C#N)SC(C2=C(F)C(CCCCCCCC)=C(C(S3)=C(F)C(F)=C3C4=C(CCCCCCCC)C(F)=C(C5=C(CCCCCCCC)C(F)=C(/C=C(C#N)/C#N)S5)S4)S2)=C1CCCCCCCC,4.5,4.3,8.7,0.469,1.05,1.93,1121.54,6.09,4.16
FC1=C(/C=C(C#N)/C#N)SC(C2=C(F)C(CCCCCCCC)=C(C3=C(F)C(CCCCCCCC)=C(C4=C(F)C(F)=C(C(S5)=C(CCCCCCCC)C(F)=C5C6=C(CCCCCCCC)C(F)=C(C7=C(CCCCCCCC)C(F)=C(/C=C(C#N)/C#N)S7)S6)S4)S3)S2)=C1CCCCCCCC,1.8,1.7,4.4,0.345,1.11,1.81,1546.19,5.74,3.93
FC1=CC(C(C2=C/C(S3)=CC4=C3C(C=C(C(C5=CC=C(CCCCCC)C=C5)(C6=CC=C(CCCCCC)C=C6)C7=C8SC9=C7N(CCCCCCCC)C%10=C9SC(/C=C%11C(C%12=C(C\%11=C(C#N)/C#N)C=CC(F)=C%12)=O)=C%10)C8=C%13)=C%13C4(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)=O)=C(C/2=C(C#N)\C#N)C=C1,14.0,13.7,22.4,0.724,0.86,1.55,1559.11,5.51,3.96
FC1=CC(C(C2=C/C3=CC(SC4=C5SC6=C4C(C7=CC=C(CCCCCC)C=C7)(C8=CC=C(CCCCCC)C=C8)C9=C6C=C(C(C%10=CC=C(CCCCCC)C=C%10)(C%11=CC=C(CCCCCC)C=C%11)C%12=C%13SC%14=C%12N(CCCCCCCC)C%15=C%14SC(/C=C%16C(C%17=C(C\%16=C(C#N)/C#N)C=CC(F)=C%17)=O)=C%15)C%13=C9)=C5S3)=O)=C(C/2=C(C#N)\C#N)C=C1,12.3,12.0,20.0,0.693,0.894,1.33,1671.27,5.4,4.07
N#C/C(C#N)=C/C(C1=NSN=C12)=CC=C2C3=CC4=C(S3)C(C=CC(C5=CC=C(S5)C6=CC=C(C7=NSN=C76)/C=C(C#N)/C#N)=C8)=C8C4(C9=CC=C(C=C9)CCCCCC)C%10=CC=C(C=C%10)CCCCCC,6.57,6.31,14.07,0.62,0.767,1.72,995.31,5.5,3.78
